customer_code,custmer_name,customer_type,product_code,customer_code,market_code,order_date,sales_qty,sales_amount,currency
Cus001,"Surge Stores","Brick & Mortar",Prod001,Cus001,Mark001,2017-10-10,100,41241,INR
Cus002,"Nomad Stores","Brick & Mortar",Prod001,Cus002,Mark002,2018-05-08,3,-1,INR
Cus003,"Excel Stores","Brick & Mortar",Prod002,Cus003,Mark003,2018-04-06,1,875,INR
Cus003,"Excel Stores","Brick & Mortar",Prod002,Cus003,Mark003,2018-04-11,1,583,INR
Cus004,"Surface Stores","Brick & Mortar",Prod002,Cus004,Mark003,2018-06-18,6,7176,INR
Cus005,"Premium Stores","Brick & Mortar",Prod003,Cus005,Mark004,2017-11-20,59,500,USD
Cus005,"Premium Stores","Brick & Mortar",Prod003,Cus005,Mark004,2017-11-22,36,250,USD
Cus005,"Premium Stores","Brick & Mortar",Prod003,Cus005,Mark004,2017-11-23,39,21412,INR
Cus005,"Premium Stores","Brick & Mortar",Prod003,Cus005,Mark004,2017-11-27,35,19213,INR
Cus005,"Premium Stores","Brick & Mortar",Prod003,Cus005,Mark004,2017-11-28,310,170185,INR
Cus005,"Premium Stores","Brick & Mortar",Prod003,Cus005,Mark004,2017-11-29,184,101194,INR
Cus005,"Premium Stores","Brick & Mortar",Prod003,Cus005,Mark004,2017-11-30,35,19213,INR
Cus005,"Premium Stores","Brick & Mortar",Prod004,Cus005,Mark004,2017-11-29,17,9426,INR
Cus005,"Premium Stores","Brick & Mortar",Prod004,Cus005,Mark004,2017-12-19,1,218,INR
Cus005,"Premium Stores","Brick & Mortar",Prod005,Cus005,Mark004,2018-08-07,5,3093,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod003,Cus006,Mark004,2017-12-04,58,30306,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2018-06-29,38,52319,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2018-07-02,93,126296,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2018-07-03,79,107500,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2018-07-04,1,273,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2018-07-06,3,3574,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2018-07-13,1,273,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2019-06-07,20,23403,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2019-07-29,81,76329,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2019-08-01,5,4542,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2019-09-19,18,16579,INR
Cus006,"Electricalsara Stores","Brick & Mortar",Prod005,Cus006,Mark004,2019-09-27,90,105301,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-10-09,1,185,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-10-13,1,556,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-10-27,1,551,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-11-03,1,167,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-11-06,1,333,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-11-10,1,500,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-11-16,1,333,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-11-17,1,333,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-11-27,1,500,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-12-04,1,833,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-12-08,1,167,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-12-11,1,833,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-12-18,1,1000,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-12-27,2,1833,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2017-12-28,1,167,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2018-01-05,1,167,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2018-01-08,1,833,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2018-01-22,1,167,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2018-02-21,26,10657,INR
Cus007,"Info Stores","Brick & Mortar",Prod004,Cus007,Mark004,2018-02-23,1,167,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-08-03,1,157,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-08-24,1,315,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-09-21,1,630,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-09-28,1,315,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-11-09,1,157,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-11-16,1,472,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-12-07,1,157,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2018-12-14,1,157,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-01-25,1,315,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-02-01,1,157,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-02-08,1,472,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-02-15,1,472,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-02-22,1,315,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-03-01,1,472,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-03-08,1,315,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-03-15,1,157,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-03-22,1,315,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-03-29,1,315,INR
Cus007,"Info Stores","Brick & Mortar",Prod005,Cus007,Mark004,2019-04-05,1,315,INR
